-5;-4;-4;-3;-3;-2;-2;-1;-1;-1;5;15;40;45;50;60;65;63;60;56;52;48;45;42;40;38;36;34;32;30;25;23;20;18;15;12;5;1;1;1;-1;-2;-3;-4;-5;-6;-7;-8;-10;-12;-15;-18;-22;-25;-27;-15;-12;-10;-8;-8;-7;-7;-6;-5
-18;-16;-14;-12;-10;-7;-5;-2;-1;-1;3;10;30;35;45;55;70;73;76;80;83;80;75;70;60;55;50;45;40;35;30;27;25;22;18;15;10;2;1;1;-1;-1;-3;-4;-5;-6;-7;-10;-12;-15;-18;-20;-24;-26;-28;-31;-33;-32;-30;-28;-26;-24;-21;-19
-21;-19;-17;-15;-13;-10;-7;-4;-2;-1;2;5;10;25;35;45;55;65;70;77;85;90;93;90;85;75;65;55;45;40;35;33;30;25;22;20;15;3;1;1;1;-1;-2;-3;-4;-5;-6;-8;-10;-12;-15;-18;-20;-24;-26;-28;-30;-34;-34;-30;-28;-25;-23;-21
-24;-22;-20;-18;-16;-13;-9;-5;-1;-1;-1;3;5;15;25;35;45;50;60;65;75;85;95;97;95;85;75;65;55;45;40;37;35;32;27;25;20;4;2;1;1;1;-1;-2;-3;-4;-5;-6;-8;-10;-12;-15;-18;-20;-24;-26;-28;-33;-35;-32;-30;-26;-24;-23
-27;-25;-23;-21;-19;-16;-11;-7;-3;-2;-1;-1;3;7;15;25;35;40;50;55;65;75;80;90;100;96;90;85;80;70;60;50;45;42;37;35;25;5;3;2;1;1;-1;-2;-2;-3;-3;-5;-6;-8;-10;-12;-15;-18;-22;-24;-26;-32;-34;-36;-34;-30;-28;-27
-30;-28;-26;-24;-22;-19;-13;-9;-5;-2;-1;-1;-1;3;9;15;25;30;40;45;55;65;70;77;85;98;90;86;83;74;65;55;50;47;43;40;30;10;5;3;1;1;1;-1;-2;-2;-3;-4;-5;-6;-8;-10;-12;-16;-21;-23;-25;-31;-34;-35;-37;-35;-32;-30
-33;-31;-29;-27;-25;-22;-15;-11;-8;-3;-2;-1;-1;-1;3;7;10;20;30;35;45;55;60;67;75;85;92;87;84;76;65;60;55;52;48;45;40;20;15;5;3;1;1;1;-1;-1;-2;-3;-4;-5;-7;-8;-10;-15;-20;-22;-25;-30;-33;-35;-36;-37;-35;-33
-36;-34;-32;-30;-28;-25;-17;-13;-11;-6;-4;-2;-1;-1;-1;3;7;10;20;25;35;45;50;57;65;75;79;80;85;78;70;63;60;57;53;50;45;30;25;15;5;3;1;1;1;-1;-2;-2;-3;-4;-5;-6;-8;-12;-18;-20;-24;-28;-32;-34;-36;-38;-39;-36
-39;-37;-35;-33;-31;-28;-19;-17;-14;-9;-7;-3;-2;-1;-1;-1;3;7;10;15;25;35;40;47;55;65;69;70;75;80;73;65;64;61;58;55;50;40;35;25;15;10;3;1;0;0;-1;-1;-2;-3;-4;-5;-7;-9;-16;-19;-23;-26;-30;-34;-35;-38;-39;-39
-42;-40;-38;-36;-34;-31;-21;-20;-17;-12;-10;-5;-3;-2;-1;-1;-1;3;7;10;15;25;35;40;45;55;59;60;65;70;75;70;67;65;62;58;55;50;45;35;25;15;10;3;1;0;0;0;-1;-2;-3;-4;-5;-7;-13;-16;-22;-25;-27;-33;-36;-39;-40;-41
